자치구,소계,단독주택,단독주택-일반단독주택,단독주택-다가구주택,단독주택-영업겸용주택,아파트,연립주택,다세대주택,비거주용건물내주택,비율,순위
종로구,46810,11823,6259,3959,1605,15923,5532,12651,881,65.98376415,1
강북구,99477,17134,4640,9995,2499,35997,4867,40483,996,63.81374589,2
광진구,93555,14901,619,11300,2982,33862,4158,39240,1394,63.80524825,3
은평구,160630,14469,4036,7861,2572,67705,5831,71420,1205,57.85033929,4
관악구,129778,20855,3473,14053,3329,57133,6224,43684,1882,55.97635963,5
금천구,72044,8507,350,6968,1189,33231,3929,25869,508,53.87402143,6
중랑구,118357,17751,1668,12765,3318,59121,4466,35535,1484,50.04858183,7
용산구,77116,13450,4698,7054,1698,39805,3887,19309,665,48.38295555,8
동작구,120374,14058,2465,9468,2125,65921,5157,34212,1026,45.23651287,9
서대문구,105047,12239,2605,7910,1724,57952,5457,28507,892,44.83231316,10
강서구,201611,9717,1126,6449,2142,117945,4751,68125,1073,41.49872775,11
성북구,142602,20892,8819,9157,2916,83701,6146,30510,1353,41.30446978,12
마포구,127057,10720,2500,5848,2372,74959,3080,36850,1448,41.00364403,13
도봉구,109190,8381,1308,5441,1632,65664,4229,30210,706,39.86262478,14
송파구,220192,7657,420,5365,1872,135070,4766,71257,1442,38.65808022,15
중구,42401,5751,2166,2346,1239,26366,1879,7572,833,37.8175043,16
구로구,137403,11182,1482,7938,1762,86340,7518,31551,812,37.16294404,17
양천구,146886,7519,592,5172,1755,92705,3965,41885,812,36.88642893,18
동대문구,106441,16110,3994,9353,2763,68445,3298,17090,1498,35.69677098,19
강동구,148323,9411,472,6747,2192,95721,3216,38934,1041,35.46449303,20
서초구,132706,5187,812,3368,1007,92711,5287,28377,1144,30.13804952,21
영등포구,112068,13623,1783,9533,2307,79110,1581,16644,1110,29.40893029,22
강남구,178493,6223,744,4121,1358,131599,5649,33469,1553,26.27217874,23
성동구,90740,9410,1733,5966,1711,68125,2058,10177,970,24.92285651,24
노원구,192022,6519,2097,3262,1160,166131,3487,15212,673,13.48335087,25
